1,10,23,29,33,37,40,16,0,143934100,143934000,287695800,401550000
2,9,13,21,25,32,42,2,2002006800,189733600,189726000,379310400,554800000
3,11,16,19,21,27,31,30,2000000000,0,163199900,326106000,732560000
4,14,27,30,31,40,42,2,0,211191200,211189600,422381700,523820000
5,16,24,29,40,41,42,3,0,0,253419600,506659500,604340000
6,14,15,26,27,40,42,34,6574451700,588892800,588887400,1177782000,1763750000
7,2,9,16,25,26,40,42,0,433485000,433485000,866499500,2062590000
8,8,19,25,34,37,39,9,0,789330000,789298800,1577829500,2482420000
9,2,4,16,17,36,39,14,0,3077826000,3077817600,6154720000,6033750000
10,9,25,30,33,41,44,6,83595692700,9631962400,9631930800,19198288200,34108460000
11,1,7,36,37,41,42,14,23900761500,3983459700,3983438800,7964902000,6128050000
12,2,11,21,25,39,45,44,16186148400,2697688800,2697502500,5394519000,11150840000
13,22,23,25,37,38,42,26,0,2599855800,2599830000,5197935600,7267510000
14,2,6,12,31,33,40,15,37500193200,3650175200,3650122700,7299410400,13417560000
15,3,4,16,30,31,37,13,17014245000,2835707200,2835689900,5668609200,8275380000
16,6,7,24,37,38,40,33,17508584400,2918096400,2918042400,5835992500,8707700000
17,3,4,9,17,32,37,1,16048473600,2674745100,2674678200,5345141700,9611620000
18,3,12,13,19,32,35,29,0,2625259500,2625256800,5248834500,6933230000
19,6,30,38,39,40,43,26,40722959400,4161899000,4161856700,8322738600,11359910000
20,10,14,18,20,23,30,41,19352212800,3225367600,3225304800,6448356200,8274700000
21,6,12,17,18,31,32,21,18341934200,3056989000,3056979200,6108505600,11553680000
22,4,5,6,8,17,39,25,18208779600,3034793600,3034759200,6064947200,9379610000
23,5,13,17,18,33,42,44,17271790800,2878631700,2878593200,5753645100,9900810000
24,7,8,27,29,36,43,6,0,3168426600,3168402500,6333240000,7559050000
25,2,4,21,26,43,44,16,48455490600,4907487200,4907398100,9813239800,10962000000
26,4,5,7,18,20,25,31,17475349500,2912555100,2912490000,5823511200,10970930000
27,1,20,26,28,37,43,27,19087965000,3181326400,3181315500,6360008200,6259250000
28,9,18,23,25,35,37,1,17003611000,2833934400,2833874400,5665473000,9384830000
29,1,5,13,34,39,40,11,17762970000,2960493900,2960473600,5920110600,7656610000
30,8,17,20,35,36,44,4,17457111000,2909517600,2909515200,5818862500,7104660000
31,7,9,18,23,28,35,32,16213345800,2702222900,2702169000,5402555000,8636410000
32,6,14,19,25,34,44,11,16345283000,2724213800,2724193500,5444323200,8347460000
33,4,7,32,33,40,41,9,14903517600,2483919400,2483912100,4963918400,8889430000
34,9,26,35,37,40,42,2,15284590000,2547427500,2547339200,5090961700,9220630000
35,2,3,11,26,37,43,39,15163794600,2527298400,2527217100,5052154800,7798540000
36,1,10,23,26,28,40,31,16014475800,2669078200,2669030400,5338115300,6737550000
37,7,27,30,33,35,37,42,14957998200,2492998000,2492927300,4985538400,7824900000
38,16,17,22,30,37,43,36,16124599200,2687432400,2687414100,5372882900,6810310000
39,6,7,13,15,21,43,8,15742492800,2623747500,2623696500,5247020800,6809750000
40,7,13,18,19,25,26,6,14919481200,2486576400,2486529500,4972188400,7983740000
41,13,20,23,35,38,43,34,0,2297484000,2297470000,4594099500,5837440000
42,17,18,19,21,23,32,1,41395680600,4601793000,4601656000,9203125100,13936910000
